species,count,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,x68,y68,x69,y69,x70,y70,x71,y71,x72,y72,x73,y73,x74,y74,x75,y75,x76,y76,x77,y77,x78,y78,x79,y79,x80,y80,x81,y81,x82,y82,x83,y83,x84,y84,x85,y85,x86,y86,x87,y87,x88,y88,x89,y89,x90,y90,x91,y91,x92,y92,x93,y93,x94,y94,x95,y95,x96,y96,x97,y97,x98,y98,x99,y99,x100,y100,x101,y101,x102,y102,x103,y103,x104,y104,x105,y105,x106,y106,x107,y107,x108,y108,x109,y109,x110,y110,x111,y111,x112,y112,x113,y113,x114,y114,x115,y115,x116,y116,x117,y117,x118,y118
Allancastria cerisyi,3,698.0,533.67,722.4,560.4,745.68,591.35,767.08,622.41,787.28,653.14,802.92,685.73,816.65,719.88,825.67,755.06,837.83,790.42,857.4,821.96,882.19,847.86,914.27,862.23,941.03,853.5,972.29,842.87,999.28,845.49,1026.79,828.15,1052.73,824.77,1082.42,845.17,1099.25,837.86,1088.72,802.18,1089.67,765.26,1096.26,728.89,1101.06,691.5,1108.33,655.7,1102.72,617.42,1091.54,582.87,1071.2,552.32,1052.84,520.39,1031.97,491.97,1018.0,465.33,1056.59,462.33,1096.68,461.26,1132.68,444.31,1160.1,417.27,1182.78,385.45,1199.55,349.18,1214.31,314.51,1227.33,277.72,1237.3,241.42,1246.0,202.92,1252.33,163.43,1249.66,122.7,1233.5,89.6,1199.3,73.68,1158.27,73.42,1119.98,82.66,1083.48,97.53,1048.76,117.57,1014.99,139.11,981.58,158.55,948.48,180.4,915.63,203.65,883.14,227.78,851.3,252.37,821.22,278.51,790.9,304.07,760.25,329.96,730.4,353.42,703.0,378.0,620.33,386.33,591.56,360.06,563.51,333.53,531.85,308.52,500.4,284.63,470.77,258.21,437.82,234.26,405.61,212.61,371.91,190.91,337.88,171.84,303.71,152.51,269.96,133.55,235.3,113.25,201.07,97.19,164.16,86.33,124.53,81.67,85.88,89.03,59.67,112.92,52.67,151.04,55.17,190.55,62.37,229.1,72.35,264.85,86.01,299.29,102.33,335.6,118.79,370.16,140.58,402.67,164.97,430.97,196.66,452.67,232.93,465.0,271.33,473.33,256.74,502.52,236.24,533.84,215.06,564.87,197.77,597.82,191.85,635.79,194.67,674.07,197.1,714.12,197.7,753.38,204.33,791.34,192.35,826.49,196.73,840.98,225.06,827.5,254.64,825.35,281.04,831.1,310.95,838.3,339.78,855.98,362.25,879.75,389.05,869.07,415.97,844.32,433.79,816.64,449.2,782.63,463.17,747.83,474.8,714.78,492.68,680.66,511.4,647.83,533.37,615.59,556.76,584.89,578.93,564.47,604.33,540.67
Atrophaneura dixoni,8,761.38,702.0,776.52,737.05,787.91,774.27,799.83,809.42,814.56,845.27,833.47,878.54,852.41,904.27,870.4,927.64,891.59,954.48,914.73,984.58,940.24,1013.74,968.42,1036.72,999.17,1052.42,1031.53,1066.3,1068.29,1070.38,1107.68,1066.32,1142.86,1052.91,1173.73,1029.86,1194.94,997.58,1214.1,964.0,1222.62,927.39,1216.15,889.18,1212.45,852.15,1206.78,814.51,1187.47,781.91,1164.24,750.74,1143.87,718.16,1120.59,686.47,1091.93,658.91,1066.12,631.38,1118.04,625.65,1169.31,614.38,1214.26,588.01,1252.63,551.05,1286.0,510.42,1310.96,465.42,1331.01,416.96,1348.92,367.8,1367.64,320.15,1386.64,271.57,1402.78,222.36,1413.74,170.7,1412.61,117.92,1382.96,80.94,1330.74,71.23,1277.04,76.52,1228.15,91.95,1181.59,113.6,1136.6,140.68,1094.37,172.36,1054.83,205.92,1014.09,241.26,973.46,277.29,935.02,313.73,897.98,352.14,863.27,391.52,830.74,432.94,799.81,475.44,766.62,513.62,677.0,506.25,646.22,467.15,616.74,424.83,585.71,383.48,551.99,343.85,516.28,305.52,479.28,268.2,441.16,233.04,402.77,198.27,363.06,163.6,322.01,130.74,278.83,102.58,233.67,79.89,184.72,64.14,133.27,58.5,82.81,67.68,53.38,105.21,53.17,158.09,62.47,209.42,75.53,259.6,91.97,307.54,109.06,355.45,123.65,404.75,140.83,453.09,163.8,498.17,193.13,539.2,229.11,577.95,270.65,608.74,320.57,621.66,370.5,628.62,344.8,654.21,316.65,678.83,294.24,708.64,272.91,739.9,248.83,768.26,227.51,798.68,221.07,834.95,218.51,872.5,211.24,909.55,215.16,946.31,233.54,979.24,252.85,1011.21,279.43,1037.09,311.31,1055.59,348.71,1064.04,386.32,1060.6,416.85,1044.58,447.37,1026.76,477.38,1007.43,504.65,983.2,529.31,954.91,550.54,924.54,571.65,893.39,592.49,862.34,611.31,831.18,629.37,798.51,643.82,764.98,657.07,730.0,675.25,701.75
Atrophaneura semperi,8,873.12,740.5,892.14,776.53,906.96,817.72,921.68,856.41,936.43,892.3,953.27,927.12,975.05,959.34,1001.19,987.94,1031.29,1012.95,1060.82,1035.39,1094.46,1054.52,1131.65,1065.47,1172.69,1065.25,1207.96,1052.12,1240.56,1037.62,1272.39,1037.01,1301.36,1032.65,1307.81,1013.06,1306.92,984.25,1316.17,951.78,1313.42,917.0,1298.91,881.49,1290.14,844.4,1271.92,810.42,1247.16,777.53,1226.35,744.7,1194.41,716.71,1161.53,689.73,1127.21,665.01,1092.12,641.38,1139.8,632.24,1190.24,620.55,1230.87,590.6,1260.77,550.24,1290.54,509.38,1319.82,466.7,1345.29,423.88,1370.58,380.15,1396.82,336.8,1424.18,293.81,1448.32,249.17,1465.06,201.87,1470.29,150.91,1442.68,114.28,1390.17,110.36,1338.49,118.16,1290.03,133.56,1244.2,153.84,1199.26,178.39,1158.35,205.71,1117.35,236.82,1077.5,270.72,1038.17,306.47,1003.08,343.71,967.86,382.92,934.6,423.26,904.16,464.26,876.97,507.12,847.88,545.25,747.62,544.88,716.04,501.1,684.62,453.13,650.15,405.97,614.2,361.52,575.11,318.21,534.79,276.79,492.06,237.16,447.16,198.56,401.6,163.19,353.26,131.44,302.97,104.71,250.44,82.37,195.8,65.36,137.22,57.25,78.83,62.43,50.91,105.49,59.43,163.15,79.37,215.66,105.45,266.4,136.24,313.14,165.07,361.97,192.49,411.77,220.66,460.43,250.86,506.12,285.07,551.22,320.23,597.14,365.38,630.27,420.8,643.29,474.88,650.75,440.61,681.81,407.66,716.63,373.47,751.03,344.69,787.75,325.89,831.21,300.62,870.26,291.21,915.12,282.59,959.91,269.55,1001.28,280.77,1042.69,289.1,1083.57,291.36,1119.72,315.56,1136.06,351.31,1139.21,394.75,1149.83,440.48,1149.35,482.27,1159.26,521.75,1147.5,558.0,1127.33,589.75,1101.91,619.34,1071.73,648.4,1036.79,677.38,1005.34,702.63,969.61,718.29,927.35,729.8,881.46,740.51,837.17,751.33,791.86,765.75,755.75
Battus belus,4,1405.0,1252.5,1437.36,1306.36,1468.14,1365.25,1501.49,1422.38,1531.91,1479.33,1565.43,1535.7,1586.83,1595.99,1626.6,1644.27,1676.26,1684.73,1715.6,1728.35,1761.04,1765.23,1814.88,1781.34,1874.7,1767.21,1939.59,1757.63,1994.72,1728.86,2047.66,1700.2,2094.43,1662.54,2132.81,1614.44,2179.41,1575.01,2205.09,1516.71,2243.29,1471.9,2250.27,1408.93,2257.65,1351.8,2249.69,1290.26,2222.77,1235.62,2194.11,1181.36,2148.52,1132.07,2098.83,1088.88,2044.37,1050.12,1996.75,1014.75,2092.63,1006.59,2184.99,988.38,2260.43,939.99,2319.62,873.66,2367.93,794.6,2410.06,710.92,2451.77,626.99,2495.92,545.9,2544.87,465.56,2589.71,383.7,2624.44,297.49,2644.75,206.0,2630.65,117.33,2552.19,80.7,2454.72,81.25,2361.19,102.05,2271.43,132.82,2187.56,172.31,2108.32,217.68,2029.45,268.08,1954.01,322.91,1879.86,382.14,1806.36,445.64,1736.83,512.28,1669.57,580.68,1605.32,650.59,1542.22,723.52,1482.87,797.77,1426.0,870.0,1272.0,859.0,1209.58,790.02,1149.43,712.68,1084.45,639.08,1019.29,568.04,951.25,498.83,879.76,430.76,807.43,365.68,732.65,306.05,655.8,249.55,576.95,198.6,494.03,151.87,409.3,110.5,318.87,79.06,224.83,58.06,125.65,58.25,57.56,108.26,56.15,203.31,79.38,296.08,117.22,382.72,163.04,464.76,209.9,546.91,251.75,631.79,293.56,717.19,335.8,800.85,378.68,883.54,443.97,949.94,527.55,988.64,628.41,995.61,728.5,1001.0,674.33,1036.17,614.93,1070.01,559.98,1110.52,511.6,1160.93,468.03,1214.45,428.7,1271.21,420.12,1330.26,423.47,1393.55,432.64,1455.33,463.39,1509.87,489.08,1570.12,528.51,1613.4,575.85,1656.83,613.79,1701.29,671.33,1726.75,726.45,1763.46,794.68,1764.8,854.75,1795.75,910.76,1769.5,955.11,1730.92,998.5,1689.96,1036.11,1637.14,1071.57,1581.11,1107.5,1522.37,1141.28,1461.39,1176.76,1402.8,1209.1,1343.12,1238.07,1286.09,1271.75,1231.75
Battus polydamas,6,1091.17,902.33,1113.66,940.78,1131.14,991.73,1149.85,1042.4,1169.58,1092.89,1184.23,1144.69,1198.39,1197.27,1217.8,1247.45,1242.89,1294.29,1278.51,1330.75,1314.86,1364.14,1337.72,1410.37,1372.43,1439.79,1422.45,1435.66,1472.62,1421.24,1518.82,1401.43,1563.54,1380.29,1598.49,1359.82,1613.73,1312.05,1644.8,1274.02,1668.67,1232.6,1683.36,1181.59,1698.46,1131.43,1701.5,1081.37,1699.81,1027.75,1688.09,975.77,1670.18,926.57,1643.0,879.94,1610.42,838.06,1578.0,800.67,1644.62,791.33,1711.08,775.28,1769.23,745.52,1806.19,688.7,1838.04,628.53,1858.44,562.88,1874.14,496.57,1904.49,435.75,1946.67,381.83,1988.21,326.46,2021.99,269.03,2041.84,202.1,2032.4,135.76,1981.95,98.4,1911.54,89.39,1840.38,95.44,1772.42,111.77,1706.54,134.33,1643.72,164.3,1583.9,197.24,1526.29,234.38,1469.42,273.77,1414.55,317.07,1361.14,361.22,1307.75,406.75,1256.2,456.34,1208.58,507.68,1162.46,561.13,1114.83,610.83,979.5,612.83,936.33,562.27,894.44,506.99,846.54,453.97,798.93,404.26,747.52,354.76,694.66,307.83,642.66,263.82,586.86,221.03,529.08,180.92,470.14,144.88,408.97,113.41,345.27,88.02,279.11,68.24,211.01,57.19,141.23,59.68,80.37,85.13,58.57,143.7,66.29,210.58,94.39,273.28,132.5,330.59,170.26,387.18,200.37,446.78,218.44,511.76,239.26,576.93,268.12,639.26,300.72,696.5,350.68,735.12,413.48,756.11,468.0,776.5,437.87,814.98,408.14,857.27,381.69,902.46,362.24,949.78,351.03,998.73,347.28,1050.5,346.0,1097.46,361.74,1144.25,373.19,1194.43,393.31,1236.02,425.72,1272.32,440.16,1319.29,475.64,1341.08,517.12,1365.27,561.97,1384.2,607.27,1396.38,650.31,1397.26,689.14,1377.19,717.71,1337.42,757.63,1312.23,790.81,1275.44,818.84,1232.18,837.03,1182.52,855.37,1132.67,876.57,1084.72,900.28,1038.0,921.68,990.94,941.06,941.86,965.0,900.0
Bhutanitis thaidina,1,1016.0,770.0,1083.32,830.32,1139.3,905.3,1189.91,977.91,1233.0,1058.23,1258.0,1143.21,1283.14,1228.14,1369.83,1249.83,1410.95,1325.0,1463.96,1265.0,1528.22,1312.22,1576.13,1387.13,1577.91,1338.91,1533.96,1258.96,1589.39,1203.39,1672.33,1231.33,1737.43,1286.43,1799.24,1357.24,1870.45,1407.0,1909.0,1341.13,1844.35,1283.35,1767.22,1236.0,1693.18,1184.0,1618.85,1127.85,1621.09,1047.09,1561.35,986.35,1567.0,903.59,1526.0,826.65,1511.84,736.84,1442.0,684.0,1496.0,674.0,1559.04,663.96,1613.01,631.99,1653.46,589.54,1690.38,541.62,1723.06,487.94,1756.44,435.44,1788.53,383.47,1817.66,328.34,1841.0,273.62,1855.68,213.32,1858.0,148.73,1837.74,90.74,1786.27,57.0,1722.79,50.0,1659.72,60.0,1603.2,85.8,1550.5,116.0,1501.56,146.44,1448.88,180.12,1396.38,215.62,1347.05,255.95,1296.72,295.28,1250.09,337.91,1202.17,378.83,1156.43,423.57,1112.15,471.85,1068.57,520.43,1028.0,566.0,927.0,575.0,881.0,532.94,837.28,488.28,790.48,449.48,742.85,405.85,694.22,367.22,643.43,328.43,590.89,291.0,538.24,255.24,484.98,220.98,431.59,187.0,376.98,156.0,320.95,127.0,262.85,103.0,199.36,92.0,135.62,96.38,81.0,121.4,54.41,175.59,51.0,241.4,72.0,300.74,90.06,359.06,120.0,413.87,155.0,464.59,190.22,511.22,228.02,561.02,271.18,611.18,315.22,657.22,367.86,693.0,429.27,709.0,494.0,713.0,431.7,769.3,423.05,860.95,391.23,942.23,396.51,1028.49,352.21,1099.21,347.44,1174.56,285.37,1227.63,214.53,1281.47,143.28,1338.28,78.32,1395.32,117.66,1462.66,185.89,1411.11,239.56,1342.44,302.76,1279.24,377.4,1236.0,451.25,1273.25,423.84,1358.16,418.37,1426.63,458.89,1349.11,511.41,1283.0,573.62,1336.38,618.9,1262.1,692.99,1222.01,719.0,1138.72,743.0,1050.94,778.56,976.44,824.04,898.96,876.0,825.6,932.0,754.0
Byasa alcinous,9,1071.22,905.22,1109.25,971.61,1148.31,1047.46,1188.03,1124.52,1227.43,1199.55,1277.73,1263.75,1324.62,1329.7,1354.44,1409.09,1413.72,1450.72,1488.86,1451.28,1545.81,1505.78,1603.57,1502.13,1673.08,1482.0,1739.97,1531.09,1796.56,1596.17,1853.64,1659.84,1918.73,1658.45,1910.21,1594.91,1855.84,1532.2,1789.84,1474.62,1725.7,1413.69,1695.45,1341.07,1712.85,1277.54,1691.53,1216.16,1664.7,1144.47,1645.39,1074.26,1618.86,1004.56,1578.61,933.06,1525.74,868.13,1474.22,805.89,1540.96,798.94,1608.69,784.57,1664.11,746.57,1710.04,693.51,1745.56,635.87,1783.79,580.46,1820.27,522.69,1852.73,461.24,1883.78,398.97,1914.38,337.34,1942.19,275.51,1963.42,209.13,1962.45,140.02,1920.78,92.53,1852.49,76.13,1781.56,80.4,1714.19,98.66,1649.3,123.98,1587.62,155.27,1528.82,190.81,1472.11,229.62,1417.59,273.12,1364.51,317.41,1311.18,363.53,1259.62,412.4,1211.63,463.49,1167.32,517.23,1128.15,572.15,1090.33,627.0,976.78,629.44,936.19,580.27,897.0,523.21,852.97,469.5,807.41,415.61,757.93,364.46,705.32,316.54,652.65,270.9,597.77,225.89,542.25,183.92,482.74,145.92,422.36,112.73,359.04,85.18,292.86,65.02,221.93,58.2,152.23,68.27,107.04,113.66,101.07,179.04,119.84,245.14,146.2,308.8,175.62,371.29,205.15,433.31,235.71,494.17,269.01,553.46,304.12,611.51,344.7,668.57,388.66,721.52,444.95,760.05,510.55,779.24,576.67,792.11,523.73,847.43,468.86,908.42,426.71,978.03,399.11,1044.41,383.29,1119.06,334.76,1179.07,332.57,1239.23,349.12,1303.76,311.14,1368.6,255.51,1428.02,190.14,1484.62,130.16,1543.99,113.11,1615.48,177.42,1631.94,233.22,1568.5,289.4,1503.38,354.2,1455.37,424.08,1467.09,483.03,1477.32,539.2,1426.76,610.98,1422.62,672.02,1390.93,704.96,1316.46,752.45,1257.34,803.21,1193.67,844.73,1119.39,886.32,1045.96,924.92,969.83,968.33,903.22
Euryades corethrus,4,1063.25,920.5,1094.83,954.55,1121.63,997.76,1151.48,1041.69,1184.63,1086.85,1217.15,1130.65,1251.06,1174.87,1284.15,1215.03,1322.27,1251.32,1354.8,1289.17,1370.62,1340.02,1396.48,1384.74,1440.12,1393.48,1484.93,1405.86,1533.38,1416.32,1577.22,1386.28,1622.56,1377.12,1658.85,1347.86,1681.86,1304.22,1717.95,1270.11,1739.84,1222.19,1751.06,1174.69,1769.34,1125.3,1764.23,1073.47,1749.35,1023.81,1735.86,973.09,1712.4,929.7,1676.32,893.86,1634.06,861.19,1597.5,822.0,1648.74,794.81,1703.39,761.61,1747.3,711.95,1780.43,655.14,1801.45,594.05,1820.02,537.76,1839.99,476.85,1864.8,417.07,1895.55,362.15,1920.54,307.4,1939.18,245.39,1950.0,180.24,1931.47,120.74,1881.25,87.23,1813.92,84.0,1748.93,98.5,1686.32,124.18,1627.96,158.05,1573.54,196.96,1518.84,237.39,1466.5,279.75,1414.1,322.65,1362.61,367.14,1314.12,410.59,1264.4,455.85,1214.26,501.44,1166.63,550.62,1120.03,602.21,1072.25,647.75,938.25,655.75,889.39,612.89,842.33,559.08,790.41,509.15,737.81,458.56,686.9,411.15,634.81,362.56,581.52,313.75,527.3,266.66,473.86,222.36,418.04,178.72,360.06,138.56,299.28,103.23,234.71,75.87,166.15,61.67,98.33,74.56,60.41,120.04,55.63,182.11,67.1,246.69,85.62,311.71,108.66,374.61,134.8,431.36,158.56,491.51,179.26,553.87,203.26,610.54,225.81,666.98,263.48,721.05,309.58,765.23,371.24,792.75,429.0,808.5,393.86,843.39,351.41,877.32,307.83,908.29,273.51,950.07,255.2,1001.92,246.68,1056.2,232.64,1106.92,246.52,1159.73,262.71,1210.86,281.08,1262.29,315.57,1304.37,340.39,1347.72,383.38,1374.69,431.76,1394.65,473.09,1427.5,522.98,1418.42,573.99,1427.36,618.43,1405.09,634.7,1353.5,651.5,1301.59,680.66,1256.28,721.92,1220.69,759.65,1178.3,788.17,1137.3,822.24,1099.21,855.02,1053.71,885.68,1007.77,914.82,960.2,947.0,915.5
Graphium agamemnon,53,680.79,665.57,696.47,694.06,707.11,727.43,717.55,761.0,730.05,794.03,743.13,826.99,758.4,858.29,777.12,886.14,798.16,913.06,819.67,940.42,841.21,967.85,868.22,986.78,900.46,993.98,933.57,997.57,964.61,1000.88,993.29,1002.36,1009.11,986.06,1009.11,956.55,1013.16,928.97,1019.5,897.63,1030.13,866.76,1039.75,835.14,1044.81,801.75,1050.83,768.06,1051.14,733.59,1045.31,699.59,1032.94,668.03,1012.47,641.09,985.83,618.47,963.0,596.79,1002.61,584.68,1042.38,565.23,1071.61,531.33,1093.24,491.58,1110.3,449.33,1121.78,405.0,1131.11,359.7,1142.61,315.92,1162.07,274.9,1186.93,236.0,1209.7,196.56,1226.08,154.04,1229.96,108.51,1209.21,73.86,1165.36,66.44,1119.23,73.81,1075.35,88.27,1033.28,107.24,993.31,130.46,954.7,156.14,918.61,184.42,883.78,214.76,849.93,246.49,816.96,279.46,786.01,314.09,757.03,350.35,731.02,388.6,708.63,428.72,685.91,465.0,593.4,464.32,570.39,428.74,548.15,389.0,522.81,350.87,494.29,314.77,463.52,280.02,430.98,246.77,397.18,215.15,362.38,184.77,325.81,156.42,287.86,131.38,248.46,108.92,206.79,90.17,163.19,76.26,117.51,68.96,74.71,77.16,54.92,111.28,58.08,156.0,73.74,198.61,96.09,237.98,120.23,276.61,139.87,316.79,151.64,360.14,160.52,405.26,172.22,449.27,188.34,491.55,209.65,531.6,238.49,564.79,276.79,584.56,314.96,597.89,291.95,619.67,266.28,642.34,246.63,669.56,234.22,701.55,229.49,735.78,228.84,770.0,235.7,803.36,243.05,836.56,251.42,868.0,260.66,899.85,270.34,929.26,274.27,958.23,275.47,987.1,293.19,1002.58,320.61,1002.2,351.46,998.22,383.12,993.01,413.82,981.92,441.04,962.89,462.37,937.87,484.1,911.92,503.73,885.39,521.15,856.86,536.58,825.57,549.38,793.32,560.63,760.41,571.55,727.32,583.0,694.29,600.09,669.08
Graphium androcles,18,842.5,599.72,873.76,646.49,895.73,705.06,918.49,763.71,945.29,820.88,982.49,869.46,1022.95,915.96,1070.75,929.4,1128.86,927.83,1187.01,938.57,1239.52,973.05,1289.34,1014.09,1340.35,1054.93,1391.46,1094.61,1443.08,1133.48,1495.06,1171.18,1524.39,1179.56,1484.18,1143.32,1434.62,1101.44,1386.62,1057.39,1341.26,1011.3,1296.68,963.93,1255.29,916.42,1223.02,865.01,1214.02,808.76,1216.02,750.57,1212.04,690.89,1191.77,633.42,1151.83,587.04,1106.89,548.44,1144.35,538.5,1185.17,527.01,1215.4,501.49,1233.15,464.26,1243.96,422.76,1251.85,379.85,1256.84,336.35,1263.53,292.77,1276.16,251.76,1294.5,213.28,1315.6,177.28,1332.17,139.29,1340.01,97.74,1319.84,63.88,1276.55,58.44,1232.56,64.42,1190.85,75.58,1150.68,90.95,1112.33,109.01,1075.29,129.48,1039.09,153.21,1004.7,178.88,971.55,206.91,940.29,236.95,911.76,268.98,887.28,303.73,866.77,341.39,850.67,380.98,838.22,420.17,778.17,415.5,764.54,380.05,748.22,341.79,729.4,305.47,705.14,270.33,677.27,238.16,647.21,208.51,614.12,180.02,579.7,154.14,543.83,130.23,506.98,108.92,468.56,90.47,428.78,74.69,387.38,62.88,343.97,56.44,300.92,61.32,277.51,90.62,282.27,132.95,298.66,170.98,319.4,208.12,337.97,245.61,350.86,285.68,357.3,328.47,362.52,371.51,370.42,413.49,380.87,454.76,396.58,493.54,422.91,522.41,463.43,535.13,500.0,545.39,454.13,584.25,417.44,632.51,399.68,690.2,396.04,750.22,396.32,808.56,381.68,864.66,343.74,914.77,298.02,962.9,251.39,1009.53,203.27,1054.78,153.83,1096.69,103.35,1134.61,60.54,1168.87,95.2,1157.88,148.63,1124.74,201.73,1087.61,254.78,1048.68,306.34,1008.85,358.25,967.7,411.83,930.96,470.83,921.58,529.93,921.01,579.99,909.84,620.26,864.97,659.79,817.7,688.79,761.64,712.08,702.57,735.29,643.42,766.89,594.5
Graphium evemon,12,665.33,678.42,682.6,703.0,692.67,737.35,702.84,772.08,712.84,806.66,724.38,841.39,736.78,875.11,752.59,907.0,773.71,935.57,795.64,963.99,815.15,993.29,834.67,1024.07,861.09,1045.61,892.94,1057.34,924.01,1053.09,955.19,1038.98,974.21,1014.46,982.73,981.49,999.81,953.78,1010.02,923.07,1007.73,890.33,1018.9,859.31,1030.42,827.88,1038.05,794.48,1045.32,760.72,1041.34,726.31,1030.66,693.83,1005.9,669.77,977.78,648.98,958.92,629.17,1002.84,619.19,1043.88,600.33,1076.44,566.12,1100.16,527.76,1110.11,482.45,1117.83,435.47,1124.71,388.29,1133.6,341.34,1147.93,297.1,1166.74,254.25,1188.44,213.21,1205.17,170.48,1212.2,123.68,1200.25,82.82,1158.22,71.79,1112.11,82.95,1068.36,100.5,1027.46,121.73,987.52,146.12,949.23,173.58,911.47,203.08,875.83,233.83,841.71,266.29,808.21,300.16,776.72,336.09,746.43,373.9,719.71,412.85,695.98,453.59,673.08,492.0,579.08,488.5,556.31,453.28,533.88,411.86,508.75,371.95,481.51,334.77,451.07,298.25,418.06,262.25,384.14,228.01,349.46,196.29,312.65,165.41,273.9,136.98,235.03,111.95,193.92,89.25,150.5,71.46,104.35,60.13,62.37,71.47,50.7,115.65,58.76,163.12,75.84,206.57,95.99,249.04,113.3,293.1,125.27,338.99,132.52,386.71,137.42,434.4,144.36,482.09,157.11,527.53,182.73,567.0,215.54,597.88,258.65,613.74,298.83,625.75,271.99,646.54,243.69,667.1,220.29,691.5,209.45,722.46,205.37,757.57,213.5,790.48,217.96,825.54,232.38,857.2,237.23,890.68,238.38,924.79,253.51,953.39,267.35,982.59,275.64,1015.32,297.76,1037.17,327.09,1053.16,358.95,1055.27,390.81,1043.45,416.43,1021.6,435.68,991.62,454.12,961.97,474.37,935.03,494.24,907.86,510.77,877.26,522.72,844.95,532.91,811.87,542.73,778.28,552.33,744.75,562.72,711.93,579.17,686.25
