species,count,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,x68,y68,x69,y69,x70,y70,x71,y71,x72,y72,x73,y73,x74,y74,x75,y75,x76,y76,x77,y77,x78,y78,x79,y79,x80,y80,x81,y81,x82,y82,x83,y83,x84,y84,x85,y85,x86,y86,x87,y87,x88,y88,x89,y89,x90,y90,x91,y91,x92,y92,x93,y93,x94,y94,x95,y95,x96,y96,x97,y97,x98,y98,x99,y99,x100,y100,x101,y101,x102,y102,x103,y103,x104,y104,x105,y105,x106,y106,x107,y107,x108,y108,x109,y109,x110,y110,x111,y111,x112,y112,x113,y113,x114,y114,x115,y115,x116,y116,x117,y117,x118,y118
Hypermnestra helios,1,613.0,563.0,633.8,578.8,657.73,598.73,681.11,618.89,700.62,642.62,718.72,668.72,737.81,693.81,755.61,716.61,775.42,741.42,795.22,766.22,818.14,789.14,843.65,808.65,872.09,821.09,904.89,821.0,935.12,812.88,961.67,799.33,986.53,786.47,1010.74,765.26,1033.67,742.33,1049.0,715.09,1057.13,684.87,1066.74,655.26,1073.0,625.68,1077.0,597.4,1072.79,566.21,1059.07,539.07,1038.26,515.26,1011.0,500.0,982.38,488.0,956.0,472.0,962.19,462.0,997.69,450.31,1028.31,429.69,1053.0,400.75,1071.0,367.87,1081.23,331.77,1088.0,295.9,1091.0,256.8,1090.0,217.71,1089.0,177.79,1084.0,139.52,1073.99,104.99,1055.24,73.24,1025.05,53.0,986.37,51.0,950.42,61.58,917.92,79.08,886.47,100.53,857.68,127.0,830.28,154.0,802.34,179.66,779.06,206.94,754.48,236.52,731.0,267.12,707.34,297.66,684.47,322.53,664.14,353.86,636.57,380.43,607.0,405.0,557.0,375.0,535.94,360.0,507.21,342.21,478.09,321.09,449.0,304.9,422.57,278.57,398.09,249.09,371.91,220.91,344.72,193.72,317.12,166.12,286.89,144.89,259.11,123.11,228.66,101.0,194.89,86.89,160.61,74.0,123.47,70.0,89.58,82.42,68.35,112.65,55.18,146.82,50.0,184.29,51.0,222.66,56.0,259.38,60.0,297.34,65.04,334.04,74.0,369.95,90.0,402.94,112.19,432.19,140.53,458.0,172.96,471.96,207.0,482.0,194.71,503.29,165.43,513.0,137.94,527.06,113.22,547.78,97.33,571.67,88.0,598.29,88.0,630.77,94.0,661.59,101.95,689.95,112.06,719.06,125.72,746.72,146.61,769.61,170.47,791.0,197.15,807.0,221.66,820.0,251.65,828.0,284.13,828.0,314.09,819.91,339.98,802.02,362.41,782.59,384.84,759.16,404.44,734.56,423.0,708.93,443.77,684.23,460.0,657.65,475.32,630.68,496.62,607.38,514.98,584.02,537.0,565.0
Iphiclides podalirius,4,698.5,540.0,720.96,580.3,738.98,623.11,759.45,665.42,784.13,704.18,808.31,742.0,828.18,782.63,854.24,819.6,872.89,858.86,885.01,890.78,923.6,899.39,967.94,905.09,1006.93,917.94,1041.75,946.92,1067.46,982.77,1092.71,1007.86,1105.33,1010.11,1082.53,976.88,1059.18,938.74,1035.67,899.29,1017.4,858.49,1018.16,819.96,1012.84,775.17,1022.71,732.54,1032.54,690.62,1043.28,646.04,1044.75,601.07,1033.25,558.47,1011.32,523.07,982.75,493.0,1017.44,485.35,1056.12,474.67,1088.95,455.21,1114.6,426.27,1134.64,390.12,1147.63,351.58,1160.37,312.6,1172.75,273.35,1188.03,235.25,1203.86,197.33,1218.0,158.7,1226.09,118.38,1214.04,84.93,1184.21,65.25,1142.59,62.0,1100.84,67.96,1062.78,81.75,1026.56,98.78,991.25,118.52,957.33,140.05,924.75,163.25,891.72,188.78,860.11,214.14,829.25,241.4,799.12,268.64,770.33,296.71,741.1,326.15,715.77,353.93,692.75,382.75,605.0,383.0,576.18,361.49,548.07,332.82,517.97,302.72,487.34,275.55,455.58,247.83,423.44,221.27,389.59,196.03,355.25,172.08,320.85,150.82,285.26,130.38,249.5,112.04,212.41,96.08,172.85,83.5,131.85,78.67,89.46,82.91,59.99,105.44,54.36,143.12,65.05,182.33,80.87,219.63,97.1,257.46,112.78,295.74,125.68,334.95,138.51,374.05,153.9,412.44,172.62,448.74,200.18,479.26,235.03,499.09,275.74,504.02,310.25,509.0,278.45,541.16,255.06,582.5,248.1,628.87,256.61,673.01,270.52,716.05,286.76,758.03,284.1,802.15,291.62,845.19,291.99,888.01,267.94,928.43,244.71,970.48,218.96,1009.29,191.86,1046.29,207.39,1040.51,238.52,1004.08,268.46,967.58,302.82,942.01,344.72,926.3,388.51,922.02,428.31,915.02,439.15,872.99,457.0,830.54,482.59,791.02,507.75,752.65,531.54,712.04,554.77,671.54,572.44,629.02,586.5,584.64,608.5,544.75
Lamproptera meges,55,614.65,436.67,638.05,484.53,655.64,538.46,681.07,588.91,711.83,637.04,745.4,679.89,792.02,704.04,840.63,729.1,884.96,763.84,926.29,801.42,962.95,843.68,995.45,889.77,1026.02,937.32,1055.81,985.01,1086.46,1030.42,1109.7,1045.21,1089.72,998.72,1063.53,949.24,1036.77,900.88,1008.84,852.27,978.54,804.69,946.14,757.31,911.12,711.52,877.72,665.91,850.16,618.97,833.09,566.83,818.36,514.21,801.77,461.49,774.69,413.93,737.58,375.64,760.43,371.49,784.79,368.06,804.45,356.3,817.32,337.77,826.55,315.5,835.17,292.05,843.89,268.76,851.76,245.13,859.74,221.3,867.56,197.41,875.3,173.25,881.73,148.76,885.97,123.33,886.05,97.51,876.68,76.39,855.81,68.84,831.38,73.18,808.11,83.96,786.45,98.07,766.31,114.67,747.37,132.94,729.16,152.05,711.69,171.25,694.41,190.96,677.68,210.85,661.29,230.91,645.8,251.66,631.51,273.15,617.65,293.0,539.93,291.42,525.23,273.63,510.45,252.46,494.43,232.09,478.04,212.68,460.72,193.77,443.33,174.98,425.66,156.34,407.36,138.27,388.14,120.61,368.15,104.43,346.93,90.54,324.02,79.31,299.76,73.68,277.58,79.56,267.08,100.22,266.71,126.16,271.01,151.81,278.01,176.24,286.91,199.67,296.1,223.23,304.38,246.21,311.89,269.3,320.21,293.2,329.45,317.09,338.93,340.25,351.47,361.06,371.37,373.41,395.72,377.2,417.71,381.47,379.74,422.64,357.31,473.94,340.93,528.14,328.36,583.52,309.72,636.41,279.22,684.58,244.38,730.95,210.32,778.1,179.38,826.62,151.13,876.63,124.49,927.76,98.5,978.85,74.29,1030.57,62.01,1070.11,82.87,1046.93,112.32,1000.76,141.9,952.11,172.78,903.29,206.04,856.21,240.21,812.63,279.9,773.2,321.09,736.31,368.42,709.94,414.15,685.71,448.9,641.95,479.29,593.23,504.55,544.68,522.42,490.2,545.76,441.95
Losaria coon,3,1359.33,949.0,1412.96,991.96,1467.1,1057.24,1515.58,1124.25,1571.32,1189.38,1634.02,1240.11,1697.35,1293.22,1716.51,1378.76,1752.87,1450.05,1831.06,1454.69,1900.72,1475.39,1962.13,1494.92,2006.84,1425.48,2077.4,1387.24,2151.29,1418.29,2207.77,1484.56,2253.67,1559.45,2330.57,1569.68,2356.67,1499.6,2292.44,1447.16,2208.88,1419.4,2134.81,1371.08,2078.12,1306.18,2102.83,1223.98,2113.33,1149.5,2041.71,1102.97,2023.67,1020.31,1967.21,961.4,1894.56,920.13,1851.33,856.0,1922.73,820.35,1989.12,767.55,2057.0,716.0,2119.24,659.59,2178.61,596.19,2241.47,535.64,2304.27,476.29,2364.68,419.98,2429.09,364.78,2488.85,302.09,2535.78,229.21,2554.44,148.94,2523.87,75.21,2441.37,51.33,2352.29,60.0,2269.67,85.01,2189.68,117.15,2112.91,152.97,2038.64,191.82,1966.34,231.68,1894.48,276.54,1824.08,323.26,1756.92,371.41,1687.05,424.42,1620.12,481.88,1555.21,539.94,1493.12,599.88,1431.48,663.19,1363.0,712.33,1215.67,716.0,1165.02,679.81,1098.99,620.13,1036.15,563.91,970.04,510.04,904.09,458.61,838.56,412.89,768.61,366.95,697.1,324.81,624.11,287.28,547.53,251.5,473.32,217.76,396.34,185.41,318.23,158.37,238.2,138.46,151.75,136.49,76.26,165.49,52.33,241.09,77.53,318.46,126.73,382.05,187.43,437.74,251.27,492.3,315.15,546.57,374.97,600.78,435.91,654.58,493.92,714.73,553.63,766.96,623.27,815.07,689.92,864.81,767.67,886.0,730.05,953.49,662.93,1002.3,605.0,1059.21,607.08,1144.51,540.89,1197.3,544.67,1269.33,579.33,1346.25,539.33,1417.67,470.56,1471.26,392.51,1503.0,326.14,1550.28,340.31,1626.64,417.5,1627.63,459.13,1558.17,503.76,1484.9,572.21,1435.63,645.06,1467.92,688.64,1538.66,747.64,1518.7,813.58,1496.99,888.33,1483.79,918.06,1410.31,930.56,1324.74,974.22,1260.14,1032.82,1200.16,1085.2,1134.8,1132.45,1068.59,1182.59,1002.75,1239.67,951.0
Luehdorfia japonica,4,857.0,732.5,901.91,767.0,937.75,812.25,969.52,860.02,996.21,909.77,1013.64,963.58,1029.28,1018.16,1044.43,1073.67,1078.52,1112.31,1109.31,1130.48,1127.83,1172.18,1158.46,1210.8,1212.46,1215.0,1255.88,1182.57,1295.34,1155.36,1331.8,1162.89,1379.79,1186.02,1396.62,1174.0,1380.68,1138.59,1359.86,1092.76,1376.44,1056.73,1390.08,1010.42,1408.66,966.6,1416.51,911.01,1420.72,854.66,1408.82,799.97,1381.98,750.0,1342.04,709.04,1294.7,676.94,1248.25,647.25,1295.32,640.91,1350.38,640.33,1403.02,629.04,1444.3,597.55,1474.97,554.03,1500.47,507.58,1515.53,456.3,1529.3,402.99,1540.78,348.69,1549.61,293.7,1555.5,237.96,1556.85,181.92,1546.46,128.46,1516.48,86.21,1468.98,70.26,1413.65,75.0,1362.43,92.44,1314.5,117.75,1267.96,147.79,1224.59,179.78,1181.44,213.46,1139.29,246.03,1098.83,282.42,1058.71,318.18,1018.05,354.72,977.34,390.67,936.91,427.09,897.07,463.43,855.75,497.25,745.5,499.5,705.69,462.69,667.0,425.0,626.68,388.68,586.6,351.88,547.76,315.01,508.37,278.37,469.53,241.82,428.62,206.37,387.56,173.53,346.19,140.39,302.67,109.49,257.0,82.72,208.03,63.43,156.16,55.93,106.37,67.43,71.81,101.52,60.12,152.61,58.75,205.71,60.97,260.69,65.91,314.74,75.35,368.8,86.75,421.65,98.44,474.04,116.34,522.64,141.58,567.05,177.45,602.21,222.23,625.2,274.7,631.07,322.75,638.0,280.96,671.93,239.05,707.67,205.11,749.02,185.28,799.15,164.39,848.95,174.55,899.23,185.08,948.6,190.71,997.39,217.63,1033.99,222.15,1073.66,187.92,1114.48,164.66,1152.15,202.18,1152.51,242.67,1116.41,285.78,1115.48,314.41,1156.2,360.03,1183.36,413.01,1188.85,447.75,1150.37,456.62,1102.36,489.33,1072.63,531.59,1051.42,555.27,1007.91,567.0,960.52,590.16,911.36,614.11,861.11,642.44,813.39,677.68,771.75,723.0,743.75
Luehdorfia puziloi,4,869.5,719.0,910.09,752.32,946.03,791.78,976.78,835.58,1000.21,880.3,1017.33,929.23,1026.3,975.35,1045.31,1023.3,1072.05,1058.81,1104.53,1083.3,1129.45,1117.02,1162.16,1151.57,1202.5,1158.24,1245.74,1140.35,1292.18,1125.52,1328.83,1130.95,1352.36,1102.97,1363.45,1090.57,1393.64,1077.15,1395.09,1041.38,1388.31,994.33,1394.57,946.46,1405.96,899.99,1399.95,851.18,1382.04,805.42,1365.53,766.24,1338.43,728.26,1308.86,692.19,1271.96,660.95,1236.75,629.0,1285.75,616.71,1335.7,603.67,1380.47,586.15,1423.67,562.62,1462.64,533.84,1494.79,494.52,1519.9,449.37,1539.42,402.02,1551.22,350.42,1558.0,295.38,1558.75,239.24,1551.02,185.38,1534.56,138.5,1506.14,105.09,1467.29,83.08,1419.3,78.5,1368.14,91.06,1322.15,112.51,1278.0,139.84,1233.85,170.51,1191.34,204.23,1150.09,238.09,1108.24,273.23,1066.39,308.91,1025.43,344.09,984.0,378.59,942.08,411.17,901.99,445.76,859.0,476.25,756.5,478.25,708.99,453.07,662.4,433.36,611.73,411.13,564.52,386.05,528.93,346.1,494.47,305.91,457.94,266.94,420.56,227.31,381.68,189.91,342.92,154.09,301.86,120.38,255.86,89.17,205.95,66.39,153.11,64.0,109.73,85.53,76.75,119.29,56.33,166.37,51.25,221.89,53.12,277.42,59.82,332.75,69.96,384.89,86.47,436.7,110.01,483.44,137.97,529.19,173.05,564.88,216.31,590.35,260.39,608.04,309.38,621.5,356.25,634.5,321.34,668.2,287.62,701.9,255.15,735.26,229.79,774.08,210.54,815.25,198.36,861.7,204.38,908.6,209.2,955.09,232.34,997.13,227.1,1044.65,234.24,1073.16,254.59,1099.33,263.51,1119.16,292.35,1133.23,328.0,1127.39,369.03,1140.31,405.13,1161.7,447.26,1158.92,490.61,1138.22,513.96,1093.87,540.7,1056.37,566.62,1017.1,585.9,970.62,600.98,922.0,618.43,877.9,642.61,832.45,672.05,789.88,705.13,748.12,741.5,723.25
Mimoides xynias,4,1024.0,785.0,1039.89,819.35,1053.55,860.76,1068.17,901.07,1083.28,941.88,1099.65,981.96,1116.76,1020.18,1135.66,1057.8,1157.76,1094.14,1182.09,1126.81,1205.67,1160.17,1232.46,1187.74,1266.16,1198.65,1296.99,1204.81,1329.77,1185.06,1367.91,1181.66,1395.19,1181.52,1412.06,1159.41,1432.74,1149.15,1432.33,1113.37,1445.52,1079.17,1478.26,1056.2,1483.89,1017.07,1502.51,987.56,1515.18,953.87,1522.51,919.66,1520.33,879.48,1511.54,842.12,1502.85,805.49,1482.5,770.5,1533.86,743.9,1585.67,710.08,1624.56,660.97,1657.66,606.57,1685.74,549.38,1715.65,495.42,1750.02,444.23,1786.41,393.36,1822.52,341.5,1853.43,287.33,1875.25,228.26,1883.0,164.09,1854.63,112.49,1799.64,84.75,1735.3,80.87,1670.88,90.5,1611.32,108.6,1553.23,131.79,1496.93,159.2,1441.67,188.53,1388.75,221.39,1337.88,257.62,1289.03,298.47,1241.48,340.46,1197.84,384.42,1153.14,430.35,1109.57,475.43,1066.37,522.94,1020.5,561.75,904.25,556.75,857.23,514.2,813.24,465.39,769.75,419.0,724.63,373.63,677.55,329.3,629.57,286.32,579.97,247.18,527.5,210.13,472.31,176.51,416.61,146.01,359.17,118.48,299.89,95.06,239.13,77.75,173.61,70.75,109.12,81.37,61.43,117.49,52.0,180.98,67.24,244.21,93.34,300.41,126.73,355.63,162.86,408.0,199.03,459.07,229.84,513.93,258.55,570.24,287.99,627.24,318.57,683.26,364.36,729.43,417.24,759.45,472.75,774.0,447.92,810.0,426.85,846.7,417.72,887.08,408.79,929.3,428.77,960.17,428.49,1003.27,461.34,1026.72,477.22,1061.74,484.93,1098.81,520.31,1117.69,532.5,1156.35,537.96,1187.23,559.81,1192.31,596.46,1194.61,632.47,1215.35,670.7,1218.54,705.22,1221.78,737.18,1197.62,757.46,1162.19,784.09,1129.56,806.46,1091.63,825.51,1054.19,841.97,1012.55,855.4,970.78,869.39,928.48,882.32,886.09,894.21,842.57,905.69,799.99,924.0,763.5
Ornithoptera richmondia,41,730.71,571.9,742.51,588.88,751.19,610.16,759.2,631.19,767.72,651.75,777.5,672.14,789.38,691.74,801.93,711.0,817.03,727.98,833.92,743.06,853.39,755.75,873.77,766.48,895.28,773.87,918.45,774.75,941.46,769.05,962.47,758.96,982.49,746.67,999.96,731.58,1013.55,712.88,1027.2,693.4,1039.31,673.43,1049.04,652.14,1056.37,629.57,1060.39,606.28,1060.15,582.57,1055.63,559.85,1046.03,538.53,1031.81,519.91,1016.22,502.78,1003.22,485.22,1044.13,480.01,1088.27,472.6,1128.45,455.89,1162.19,427.86,1189.01,393.42,1212.93,357.03,1236.45,320.56,1260.74,284.97,1285.13,248.19,1307.34,210.23,1325.72,171.35,1338.76,129.59,1334.59,88.19,1302.6,63.81,1258.32,56.55,1212.46,58.34,1168.23,66.47,1126.52,79.72,1086.16,95.96,1046.93,115.3,1008.76,136.53,971.27,159.54,934.73,183.2,898.15,207.55,862.33,233.49,828.3,261.66,795.82,292.16,766.43,324.99,736.22,355.34,651.73,354.02,622.15,325.33,593.51,292.95,561.56,262.47,528.04,234.23,493.16,207.51,456.77,182.25,420.46,158.01,383.7,134.71,346.0,112.83,307.2,93.61,267.12,77.15,225.74,63.78,182.23,54.68,136.7,51.64,92.29,57.76,59.08,80.79,53.48,120.42,65.25,162.14,82.51,201.95,103.72,239.61,127.61,275.97,151.45,312.69,174.85,349.65,198.89,386.03,224.82,420.85,257.19,449.34,296.83,466.83,340.41,475.51,382.07,482.27,367.55,499.37,351.91,517.02,338.94,535.38,329.67,556.37,326.6,579.24,327.29,602.53,330.85,626.16,337.02,649.23,346.79,670.55,358.7,690.94,372.04,710.59,386.43,728.08,403.48,743.6,423.25,755.56,443.73,765.52,466.8,770.1,489.59,769.04,510.91,761.53,531.59,750.81,551.21,738.25,568.64,722.47,583.78,704.17,596.39,685.18,607.51,666.26,616.75,646.89,625.7,626.63,634.19,605.82,643.2,585.06,655.76,569.66
Pachliopta aristolochiae,7,690.0,675.0,717.82,709.46,743.09,751.12,768.33,792.42,793.42,833.89,820.25,872.59,847.06,910.04,867.16,951.99,888.02,995.21,925.06,1020.21,967.3,1014.24,1008.06,1017.22,1045.33,1004.57,1080.68,1004.57,1111.99,1035.42,1144.64,1070.67,1181.47,1069.61,1186.64,1034.27,1157.56,999.54,1121.55,971.65,1094.69,936.74,1080.86,900.11,1084.44,857.92,1074.58,813.84,1069.95,769.9,1056.75,725.53,1034.35,685.75,1013.72,644.89,976.53,613.34,941.0,581.71,982.32,575.71,1027.96,564.14,1061.04,534.44,1091.19,498.34,1115.84,457.84,1137.15,416.22,1156.83,373.52,1177.15,332.18,1198.0,290.74,1218.62,248.67,1233.86,204.7,1243.84,157.87,1241.63,109.9,1215.99,74.46,1169.31,67.24,1121.91,75.59,1079.83,93.47,1039.86,117.46,1000.72,144.84,963.04,174.53,927.56,207.19,893.23,240.62,859.93,275.98,827.04,312.24,796.13,349.79,766.27,388.44,738.62,428.09,715.45,470.37,690.57,508.29,613.0,503.29,588.67,465.27,563.84,424.32,535.36,385.24,505.27,347.78,473.96,311.8,441.38,277.21,407.96,243.71,372.52,210.66,336.65,180.27,298.74,149.79,258.83,122.84,217.33,100.1,173.58,83.13,125.05,76.43,77.33,83.17,53.69,121.43,52.84,169.95,63.37,216.75,80.11,258.8,102.16,301.23,123.87,342.52,146.04,384.09,166.89,426.06,189.14,467.45,215.52,507.16,244.18,544.73,279.05,574.55,326.28,583.21,370.86,585.29,335.97,616.88,296.79,647.2,275.68,689.21,254.16,730.71,236.58,773.65,241.86,817.9,222.71,861.35,236.67,902.1,229.18,945.58,195.56,980.97,156.66,1012.43,126.91,1050.73,131.87,1089.33,171.29,1086.76,201.43,1049.9,232.74,1014.74,270.17,1014.38,305.6,1030.48,346.47,1024.09,391.25,1031.69,427.1,1006.72,447.31,964.3,466.02,919.42,493.67,880.26,522.79,841.6,547.28,799.18,570.68,757.18,592.25,713.16,617.57,677.0
Pachliopta kotzebuea,11,584.55,556.09,601.71,588.53,617.4,626.47,635.51,663.73,656.29,699.18,682.31,730.42,699.29,766.0,712.39,804.34,731.19,839.04,765.52,849.98,801.38,849.07,835.51,859.05,870.49,844.99,903.95,860.38,925.92,894.95,951.53,924.34,983.71,914.22,982.64,877.38,954.95,847.27,922.53,820.5,893.97,790.88,883.36,755.68,901.51,723.66,889.94,688.11,887.47,650.86,881.8,614.87,858.96,581.91,841.02,546.1,811.91,517.9,782.36,490.18,814.57,486.08,854.32,481.04,881.89,455.29,904.78,422.41,927.74,389.9,947.38,355.96,967.01,321.57,987.8,287.7,1009.36,254.75,1030.45,220.97,1046.95,184.83,1058.75,146.85,1062.45,105.88,1045.49,70.96,1009.38,59.6,968.75,63.98,931.99,77.7,896.6,96.88,862.99,119.48,830.9,143.78,800.67,169.6,770.25,196.71,740.49,225.28,711.55,254.51,684.29,284.78,657.63,316.19,633.57,347.83,611.87,380.91,589.18,412.45,521.09,408.36,498.14,378.25,476.06,345.38,452.76,314.31,427.21,283.54,399.93,254.27,372.73,226.38,343.67,199.4,314.29,172.65,284.9,146.94,253.74,122.98,221.5,101.05,187.27,81.9,150.89,68.39,111.06,63.91,74.42,75.77,57.76,109.44,61.07,149.41,73.09,186.72,90.16,222.11,110.63,255.24,131.89,287.94,152.37,321.55,171.18,355.43,190.4,389.37,211.63,422.15,235.01,453.82,261.37,479.53,300.74,484.78,336.64,486.36,309.2,513.67,277.0,538.16,260.58,574.44,236.45,606.38,227.32,642.05,227.59,679.85,210.63,715.27,231.65,745.72,224.04,782.33,196.94,811.85,164.66,836.35,134.02,864.36,126.43,901.77,157.53,919.52,186.55,895.0,207.41,860.66,238.5,838.32,273.56,854.32,309.22,847.26,344.8,844.51,382.94,841.46,403.05,807.12,414.19,767.09,431.04,730.57,458.79,700.45,479.81,665.32,497.37,628.1,513.18,590.45,531.55,559.82
Papilio ambrax,41,653.29,564.1,669.17,593.78,681.65,627.09,692.96,660.94,702.87,695.31,711.75,729.67,719.37,765.16,727.04,800.58,737.8,834.94,757.83,862.61,781.69,886.33,801.73,914.37,829.72,929.55,863.45,928.11,896.48,922.39,927.25,908.92,955.77,894.05,975.44,868.03,997.38,844.01,1009.82,812.86,1021.99,781.4,1035.74,752.02,1039.87,718.95,1044.08,685.19,1040.87,652.43,1029.1,620.64,1014.32,590.02,992.08,563.18,965.8,540.05,942.51,518.02,978.78,509.53,1017.75,497.2,1050.32,473.48,1077.21,442.84,1097.89,407.58,1116.07,370.05,1131.95,331.71,1147.34,293.43,1165.12,256.41,1182.16,219.02,1195.51,180.01,1199.27,138.23,1185.86,99.89,1152.54,77.53,1111.11,69.07,1067.86,70.69,1026.79,79.77,987.49,93.87,950.03,111.8,913.49,132.57,878.71,155.21,845.25,179.77,812.82,207.22,781.82,237.15,754.04,268.06,727.83,301.94,704.04,336.87,681.74,372.57,660.2,406.1,594.76,405.68,573.31,374.33,551.46,338.47,528.24,304.04,502.77,270.44,474.3,238.84,444.12,209.04,412.3,181.13,378.84,155.53,344.16,132.23,308.16,111.25,270.95,92.9,232.19,78.32,191.42,68.57,148.08,65.43,106.47,72.09,72.25,92.0,54.83,127.23,55.32,168.35,66.46,208.4,82.53,245.47,99.86,282.83,115.48,321.1,130.51,359.46,148.59,396.3,167.95,432.2,194.24,463.42,225.72,487.14,262.71,502.07,298.56,512.88,273.98,535.32,248.11,558.67,227.1,585.26,211.25,615.13,199.54,647.06,196.22,679.88,201.45,712.29,205.15,744.28,217.54,774.9,229.95,805.84,242.98,836.28,263.13,862.08,283.54,886.38,312.44,901.84,343.33,914.63,376.96,920.57,410.35,920.81,438.6,903.17,459.59,876.34,483.87,854.9,503.45,827.48,515.64,794.89,523.63,759.91,532.03,725.24,541.5,691.16,552.21,657.22,563.99,624.2,578.46,591.94,595.9,565.17
Papilio antimachus,2,1477.5,924.5,1494.28,964.78,1513.45,1007.06,1533.0,1047.9,1557.35,1087.45,1580.56,1126.06,1600.67,1166.67,1626.37,1205.37,1650.42,1241.92,1682.44,1276.0,1714.19,1308.69,1754.25,1326.0,1800.62,1330.0,1846.5,1330.5,1891.91,1323.15,1937.18,1312.5,1978.32,1292.68,2014.21,1267.01,2051.27,1240.66,2073.56,1202.27,2106.92,1169.54,2129.5,1131.96,2139.96,1089.59,2156.05,1047.29,2147.5,1006.0,2128.6,964.89,2104.99,926.68,2071.03,898.18,2030.61,878.5,1996.5,855.5,2082.27,836.0,2168.98,798.99,2235.72,735.35,2292.21,667.29,2352.93,598.57,2415.72,531.1,2489.14,473.36,2564.99,418.51,2640.96,365.04,2712.7,306.22,2775.35,242.51,2814.93,160.46,2780.72,84.29,2693.35,58.0,2596.23,59.0,2504.27,74.45,2414.92,101.5,2330.4,136.81,2246.87,177.5,2171.15,219.16,2095.57,262.51,2015.74,309.02,1938.43,358.07,1859.76,411.96,1784.05,463.72,1710.24,523.26,1637.73,585.77,1566.74,651.26,1496.5,711.0,1356.5,713.0,1285.97,652.32,1213.85,587.85,1143.01,522.51,1066.02,468.52,990.68,412.68,909.77,360.77,830.67,312.02,752.71,263.19,673.73,219.7,592.96,174.96,509.22,134.59,425.05,101.24,337.88,74.0,245.48,56.0,147.54,52.05,64.7,89.8,62.31,176.97,109.47,254.47,171.91,322.34,239.98,379.48,315.27,431.91,389.46,488.87,458.97,548.47,518.96,619.02,580.03,690.53,637.17,762.4,710.64,816.99,795.06,842.5,861.5,862.0,820.68,884.4,782.9,908.91,751.33,938.17,728.06,976.35,711.49,1019.51,709.5,1064.94,722.89,1104.89,732.64,1150.6,765.94,1183.44,795.4,1217.05,819.35,1254.35,858.05,1276.05,897.73,1298.23,938.95,1317.06,984.55,1326.36,1030.21,1332.5,1075.7,1328.96,1121.07,1323.39,1158.04,1296.82,1186.86,1262.49,1214.05,1225.95,1240.76,1190.1,1265.0,1151.48,1285.29,1111.2,1307.55,1072.14,1326.53,1031.97,1348.65,991.85,1364.16,948.84,1375.0,909.0
